Run 165, Best epoch: 576, Best val_loss: 2.6465108394622803
Run 166, Best epoch: 120, Best val_loss: 2.7571170330047607
Run 167, Best epoch: 141, Best val_loss: 2.096588134765625
Run 168, Best epoch: 279, Best val_loss: 3.1801044940948486
Run 169, Best epoch: 39, Best val_loss: 2.287663459777832
Run 170, Best epoch: 651, Best val_loss: 1.883305311203003
Run 171, Best epoch: 629, Best val_loss: 1.9202461242675781
Run 172, Best epoch: 76, Best val_loss: 3.0552408695220947
Run 173, Best epoch: 601, Best val_loss: 2.9089393615722656
Run 174, Best epoch: 156, Best val_loss: 3.0227975845336914
Run 175, Best epoch: 442, Best val_loss: 2.540323257446289
Run 176, Best epoch: 72, Best val_loss: 3.308561325073242
Run 177, Best epoch: 327, Best val_loss: 2.2557003498077393
Run 178, Best epoch: 504, Best val_loss: 2.4999423027038574
Run 179, Best epoch: 144, Best val_loss: 2.567866325378418
Run 180, Best epoch: 142, Best val_loss: 2.83564829826355
Run 181, Best epoch: 89, Best val_loss: 2.106426239013672
Run 182, Best epoch: 57, Best val_loss: 2.147488832473755
Run 183, Best epoch: 115, Best val_loss: 3.313009262084961
Run 184, Best epoch: 24, Best val_loss: 2.3367245197296143
Run 185, Best epoch: 167, Best val_loss: 2.161418914794922
Run 186, Best epoch: 446, Best val_loss: 2.098830223083496
Run 187, Best epoch: 59, Best val_loss: 2.5428404808044434
Run 188, Best epoch: 327, Best val_loss: 2.5069899559020996
Run 189, Best epoch: 382, Best val_loss: 2.0655462741851807
Run 190, Best epoch: 617, Best val_loss: 2.674100399017334
Run 191, Best epoch: 287, Best val_loss: 2.9938559532165527
Run 192, Best epoch: 273, Best val_loss: 1.8746325969696045
Run 193, Best epoch: 401, Best val_loss: 2.056333541870117
Run 194, Best epoch: 64, Best val_loss: 2.5212535858154297
Run 195, Best epoch: 320, Best val_loss: 2.94990611076355
Run 196, Best epoch: 556, Best val_loss: 1.9497926235198975
Run 197, Best epoch: 105, Best val_loss: 2.487994909286499
Run 198, Best epoch: 272, Best val_loss: 2.8272342681884766
Run 199, Best epoch: 53, Best val_loss: 2.284853935241699
Run 200, Best epoch: 343, Best val_loss: 2.686628580093384
Run 201, Best epoch: 53, Best val_loss: 2.4025208950042725
Run 202, Best epoch: 48, Best val_loss: 2.098930835723877
Run 203, Best epoch: 53, Best val_loss: 3.458700180053711
Run 204, Best epoch: 630, Best val_loss: 2.435945987701416
Run 205, Best epoch: 34, Best val_loss: 2.5788042545318604
Run 206, Best epoch: 195, Best val_loss: 2.6978421211242676
Run 207, Best epoch: 55, Best val_loss: 2.1324641704559326
Run 208, Best epoch: 12, Best val_loss: 2.6511220932006836
Run 209, Best epoch: 263, Best val_loss: 2.608302116394043
